Tree	Node A-form	Node B-form	Node C-form	Node D-form	Node E-form	Node F-form	Node G-form	Node H-form	Node I-form	Node J-form	Node K-form	Node L-form	Node M-form	Node N-form	Node O-form	Node P-form	Node Q-form	Node R-form	Node S-form	Node T-form	Node U-form	Node V-form	Node W-form	Node X-form	Node Y-form	Node Z-form	Node A1-form	Node B1-form	Node C1-form	Absolute frequency	Relative frequency	Order	Grew-match query	Grew-match URL	Number of nodes	Head node	MI	MI3	Dice	logDice	t-score	simple-LL
Prav <advmod rad	Prav	rad																												1	3.7	AB	"pattern {B [form=""rad""]; A [form=""Prav""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22rad%22%5D%3B%20A%20%5Bform%3D%22Prav%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	rad	7.52	7.52	0.03	8.68	0.99	2.54
Prav <advmod umetelno	Prav	umetelno																												1	3.7	AB	"pattern {B [form=""umetelno""]; A [form=""Prav""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22umetelno%22%5D%3B%20A%20%5Bform%3D%22Prav%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	umetelno	10.74	10.74	0.04	9.22	1.00	4.47
Precej <advmod pozneje	Precej	pozneje																												1	3.7	AB	"pattern {B [form=""pozneje""]; A [form=""Precej""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22pozneje%22%5D%3B%20A%20%5Bform%3D%22Precej%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	pozneje	11.30	11.30	0.04	9.22	1.00	4.80
Preračunano >nmod (na <case manjše <amod število >amod zaposlenih >appos (predvsem <advmod na <case manjše <amod število >nmod (študentov >acl (ki <mark jih <nsubj je >obl (med <case cestninarji) >obl (40 <nummod odstotkov)))) >conj (in <cc višje <amod vzdrževalne <amod stroške >nmod (za <case novi <amod sistem)))	Preračunano	na	manjše	število	zaposlenih	predvsem	na	manjše	število	študentov	ki	jih	je	med	cestninarji	40	odstotkov	in	višje	vzdrževalne	stroške	za	novi	sistem						1	3.7	ABCDEFGHIJKLMNOPQRSTUVWX	"pattern {A [form=""Preračunano""]; D [form=""število""]; B [form=""na""]; C [form=""manjše""]; E [form=""zaposlenih""]; I [form=""število""]; F [form=""predvsem""]; G [form=""na""]; H [form=""manjše""]; J [form=""študentov""]; M [form=""je""]; K [form=""ki""]; L [form=""jih""]; O [form=""cestninarji""]; N [form=""med""]; Q [form=""odstotkov""]; P [form=""40""]; U [form=""stroške""]; R [form=""in""]; S [form=""višje""]; T [form=""vzdrževalne""]; X [form=""sistem""]; V [form=""za""]; W [form=""novi""]; A -[nmod]-> D; D -[case]-> B; D -[amod]-> C; D -[amod]-> E; D -[appos]-> I; I -[advmod]-> F; I -[case]-> G; I -[amod]-> H; I -[nmod]-> J; J -[acl]-> M; M -[mark]-> K; M -[nsubj]-> L; M -[obl]-> O; O -[case]-> N; M -[obl]-> Q; Q -[nummod]-> P; D -[conj]-> U; U -[cc]-> R; U -[amod]-> S; U -[amod]-> T; U -[nmod]-> X; X -[case]-> V; X -[amod]-> W; A << D; D >> B; D >> C; D << E; D << I; I >> F; I >> G; I >> H; I << J; J << M; M >> K; M >> L; M << O; O >> N; M << Q; Q >> P; D << U; U >> R; U >> S; U >> T; U << X; X >> V; X >> W} without {A -> X0} without {D -> X1} without {B -> X2} without {C -> X3} without {E -> X4} without {I -> X5} without {F -> X6} without {G -> X7} without {H -> X8} without {J -> X9} without {M -> X10} without {K -> X11} without {L -> X12} without {O -> X13} without {N -> X14} without {Q -> X15} without {P -> X16} without {U -> X17} without {R -> X18} without {S -> X19} without {T -> X20} without {X -> X21} without {V -> X22} without {W -> X23}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22Prera%C4%8Dunano%22%5D%3B%20D%20%5Bform%3D%22%C5%A1tevilo%22%5D%3B%20B%20%5Bform%3D%22na%22%5D%3B%20C%20%5Bform%3D%22manj%C5%A1e%22%5D%3B%20E%20%5Bform%3D%22zaposlenih%22%5D%3B%20I%20%5Bform%3D%22%C5%A1tevilo%22%5D%3B%20F%20%5Bform%3D%22predvsem%22%5D%3B%20G%20%5Bform%3D%22na%22%5D%3B%20H%20%5Bform%3D%22manj%C5%A1e%22%5D%3B%20J%20%5Bform%3D%22%C5%A1tudentov%22%5D%3B%20M%20%5Bform%3D%22je%22%5D%3B%20K%20%5Bform%3D%22ki%22%5D%3B%20L%20%5Bform%3D%22jih%22%5D%3B%20O%20%5Bform%3D%22cestninarji%22%5D%3B%20N%20%5Bform%3D%22med%22%5D%3B%20Q%20%5Bform%3D%22odstotkov%22%5D%3B%20P%20%5Bform%3D%2240%22%5D%3B%20U%20%5Bform%3D%22stro%C5%A1ke%22%5D%3B%20R%20%5Bform%3D%22in%22%5D%3B%20S%20%5Bform%3D%22vi%C5%A1je%22%5D%3B%20T%20%5Bform%3D%22vzdr%C5%BEevalne%22%5D%3B%20X%20%5Bform%3D%22sistem%22%5D%3B%20V%20%5Bform%3D%22za%22%5D%3B%20W%20%5Bform%3D%22novi%22%5D%3B%20A%20-%5Bnmod%5D-%3E%20D%3B%20D%20-%5Bcase%5D-%3E%20B%3B%20D%20-%5Bamod%5D-%3E%20C%3B%20D%20-%5Bamod%5D-%3E%20E%3B%20D%20-%5Bappos%5D-%3E%20I%3B%20I%20-%5Badvmod%5D-%3E%20F%3B%20I%20-%5Bcase%5D-%3E%20G%3B%20I%20-%5Bamod%5D-%3E%20H%3B%20I%20-%5Bnmod%5D-%3E%20J%3B%20J%20-%5Bacl%5D-%3E%20M%3B%20M%20-%5Bmark%5D-%3E%20K%3B%20M%20-%5Bnsubj%5D-%3E%20L%3B%20M%20-%5Bobl%5D-%3E%20O%3B%20O%20-%5Bcase%5D-%3E%20N%3B%20M%20-%5Bobl%5D-%3E%20Q%3B%20Q%20-%5Bnummod%5D-%3E%20P%3B%20D%20-%5Bconj%5D-%3E%20U%3B%20U%20-%5Bcc%5D-%3E%20R%3B%20U%20-%5Bamod%5D-%3E%20S%3B%20U%20-%5Bamod%5D-%3E%20T%3B%20U%20-%5Bnmod%5D-%3E%20X%3B%20X%20-%5Bcase%5D-%3E%20V%3B%20X%20-%5Bamod%5D-%3E%20W%3B%20A%20%3C%3C%20D%3B%20D%20%3E%3E%20B%3B%20D%20%3E%3E%20C%3B%20D%20%3C%3C%20E%3B%20D%20%3C%3C%20I%3B%20I%20%3E%3E%20F%3B%20I%20%3E%3E%20G%3B%20I%20%3E%3E%20H%3B%20I%20%3C%3C%20J%3B%20J%20%3C%3C%20M%3B%20M%20%3E%3E%20K%3B%20M%20%3E%3E%20L%3B%20M%20%3C%3C%20O%3B%20O%20%3E%3E%20N%3B%20M%20%3C%3C%20Q%3B%20Q%20%3E%3E%20P%3B%20D%20%3C%3C%20U%3B%20U%20%3E%3E%20R%3B%20U%20%3E%3E%20S%3B%20U%20%3E%3E%20T%3B%20U%20%3C%3C%20X%3B%20X%20%3E%3E%20V%3B%20X%20%3E%3E%20W%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BD%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D%20without%20%7BE%20-%3E%20X4%7D%20without%20%7BI%20-%3E%20X5%7D%20without%20%7BF%20-%3E%20X6%7D%20without%20%7BG%20-%3E%20X7%7D%20without%20%7BH%20-%3E%20X8%7D%20without%20%7BJ%20-%3E%20X9%7D%20without%20%7BM%20-%3E%20X10%7D%20without%20%7BK%20-%3E%20X11%7D%20without%20%7BL%20-%3E%20X12%7D%20without%20%7BO%20-%3E%20X13%7D%20without%20%7BN%20-%3E%20X14%7D%20without%20%7BQ%20-%3E%20X15%7D%20without%20%7BP%20-%3E%20X16%7D%20without%20%7BU%20-%3E%20X17%7D%20without%20%7BR%20-%3E%20X18%7D%20without%20%7BS%20-%3E%20X19%7D%20without%20%7BT%20-%3E%20X20%7D%20without%20%7BX%20-%3E%20X21%7D%20without%20%7BV%20-%3E%20X22%7D%20without%20%7BW%20-%3E%20X23%7D	24	Preračunano	NaN	NaN	NaN	NaN	NaN	NaN
Prvič >nmod (po <case desetih <nummod letih)	Prvič	po	desetih	letih																										1	3.7	ABCD	"pattern {A [form=""Prvič""]; D [form=""letih""]; B [form=""po""]; C [form=""desetih""]; A -[nmod]-> D; D -[case]-> B; D -[nummod]-> C; A << D; D >> B; D >> C} without {A -> X0} without {D -> X1} without {B -> X2} without {C -> X3}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22Prvi%C4%8D%22%5D%3B%20D%20%5Bform%3D%22letih%22%5D%3B%20B%20%5Bform%3D%22po%22%5D%3B%20C%20%5Bform%3D%22desetih%22%5D%3B%20A%20-%5Bnmod%5D-%3E%20D%3B%20D%20-%5Bcase%5D-%3E%20B%3B%20D%20-%5Bnummod%5D-%3E%20C%3B%20A%20%3C%3C%20D%3B%20D%20%3E%3E%20B%3B%20D%20%3E%3E%20C%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BD%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D	4	Prvič	30.08	30.08	0.00	5.82	1.00	16.11
Prvič >nmod (v <case zgodovini >nmod turnirja)	Prvič	v	zgodovini	turnirja																										1	3.7	ABCD	"pattern {A [form=""Prvič""]; C [form=""zgodovini""]; B [form=""v""]; D [form=""turnirja""]; A -[nmod]-> C; C -[case]-> B; C -[nmod]-> D; A << C; C >> B; C << D} without {A -> X0} without {C -> X1} without {B -> X2} without {D -> X3}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22Prvi%C4%8D%22%5D%3B%20C%20%5Bform%3D%22zgodovini%22%5D%3B%20B%20%5Bform%3D%22v%22%5D%3B%20D%20%5Bform%3D%22turnirja%22%5D%3B%20A%20-%5Bnmod%5D-%3E%20C%3B%20C%20-%5Bcase%5D-%3E%20B%3B%20C%20-%5Bnmod%5D-%3E%20D%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%3B%20C%20%3C%3C%20D%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BD%20-%3E%20X3%7D	4	Prvič	30.12	30.12	0.00	3.59	1.00	16.13
Ravno <advmod tako	Ravno	tako																												1	3.7	AB	"pattern {B [form=""tako""]; A [form=""Ravno""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22tako%22%5D%3B%20A%20%5Bform%3D%22Ravno%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	tako	7.67	7.67	0.00	5.64	1.00	2.63
Razen <case seveda	Razen	seveda																												1	3.7	AB	"pattern {B [form=""seveda""]; A [form=""Razen""]; B -[case]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22seveda%22%5D%3B%20A%20%5Bform%3D%22Razen%22%5D%3B%20B%20-%5Bcase%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	seveda	9.21	9.21	0.02	8.13	1.00	3.55
Res >fixed da	Res	da																												1	3.7	AB	"pattern {A [form=""Res""]; B [form=""da""]; A -[fixed]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22Res%22%5D%3B%20B%20%5Bform%3D%22da%22%5D%3B%20A%20-%5Bfixed%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	Res	2.12	2.12	0.00	3.47	0.77	-0.26
Skoraj <advmod tako >advcl (kot <mark je <aux dišalo >obl (tiste <det praznične <amod dni) >advmod doma)	Skoraj	tako	kot	je	dišalo	tiste	praznične	dni	doma																					1	3.7	ABCDEFGHI	"pattern {B [form=""tako""]; A [form=""Skoraj""]; E [form=""dišalo""]; C [form=""kot""]; D [form=""je""]; H [form=""dni""]; F [form=""tiste""]; G [form=""praznične""]; I [form=""doma""]; B -[advmod]-> A; B -[advcl]-> E; E -[mark]-> C; E -[aux]-> D; E -[obl]-> H; H -[det]-> F; H -[amod]-> G; E -[advmod]-> I; B >> A; B << E; E >> C; E >> D; E << H; H >> F; H >> G; E << I} without {B -> X0} without {A -> X1} without {E -> X2} without {C -> X3} without {D -> X4} without {H -> X5} without {F -> X6} without {G -> X7} without {I -> X8}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22tako%22%5D%3B%20A%20%5Bform%3D%22Skoraj%22%5D%3B%20E%20%5Bform%3D%22di%C5%A1alo%22%5D%3B%20C%20%5Bform%3D%22kot%22%5D%3B%20D%20%5Bform%3D%22je%22%5D%3B%20H%20%5Bform%3D%22dni%22%5D%3B%20F%20%5Bform%3D%22tiste%22%5D%3B%20G%20%5Bform%3D%22prazni%C4%8Dne%22%5D%3B%20I%20%5Bform%3D%22doma%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20-%5Badvcl%5D-%3E%20E%3B%20E%20-%5Bmark%5D-%3E%20C%3B%20E%20-%5Baux%5D-%3E%20D%3B%20E%20-%5Bobl%5D-%3E%20H%3B%20H%20-%5Bdet%5D-%3E%20F%3B%20H%20-%5Bamod%5D-%3E%20G%3B%20E%20-%5Badvmod%5D-%3E%20I%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20E%3B%20E%20%3E%3E%20C%3B%20E%20%3E%3E%20D%3B%20E%20%3C%3C%20H%3B%20H%20%3E%3E%20F%3B%20H%20%3E%3E%20G%3B%20E%20%3C%3C%20I%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D%20without%20%7BE%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D%20without%20%7BD%20-%3E%20X4%7D%20without%20%7BH%20-%3E%20X5%7D%20without%20%7BF%20-%3E%20X6%7D%20without%20%7BG%20-%3E%20X7%7D%20without%20%7BI%20-%3E%20X8%7D	9	tako	91.86	91.86	0.00	3.85	1.00	53.31
Sodeč >nmod (po <case Guinnessovi <amod knjigi >nmod rekordov >nmod (iz <case leta >nummod 1996))	Sodeč	po	Guinnessovi	knjigi	rekordov	iz	leta	1996																						1	3.7	ABCDEFGH	"pattern {A [form=""Sodeč""]; D [form=""knjigi""]; B [form=""po""]; C [form=""Guinnessovi""]; E [form=""rekordov""]; G [form=""leta""]; F [form=""iz""]; H [form=""1996""]; A -[nmod]-> D; D -[case]-> B; D -[amod]-> C; D -[nmod]-> E; D -[nmod]-> G; G -[case]-> F; G -[nummod]-> H; A << D; D >> B; D >> C; D << E; D << G; G >> F; G << H} without {A -> X0} without {D -> X1} without {B -> X2} without {C -> X3} without {E -> X4} without {G -> X5} without {F -> X6} without {H -> X7}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22Sode%C4%8D%22%5D%3B%20D%20%5Bform%3D%22knjigi%22%5D%3B%20B%20%5Bform%3D%22po%22%5D%3B%20C%20%5Bform%3D%22Guinnessovi%22%5D%3B%20E%20%5Bform%3D%22rekordov%22%5D%3B%20G%20%5Bform%3D%22leta%22%5D%3B%20F%20%5Bform%3D%22iz%22%5D%3B%20H%20%5Bform%3D%221996%22%5D%3B%20A%20-%5Bnmod%5D-%3E%20D%3B%20D%20-%5Bcase%5D-%3E%20B%3B%20D%20-%5Bamod%5D-%3E%20C%3B%20D%20-%5Bnmod%5D-%3E%20E%3B%20D%20-%5Bnmod%5D-%3E%20G%3B%20G%20-%5Bcase%5D-%3E%20F%3B%20G%20-%5Bnummod%5D-%3E%20H%3B%20A%20%3C%3C%20D%3B%20D%20%3E%3E%20B%3B%20D%20%3E%3E%20C%3B%20D%20%3C%3C%20E%3B%20D%20%3C%3C%20G%3B%20G%20%3E%3E%20F%3B%20G%20%3C%3C%20H%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BD%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D%20without%20%7BE%20-%3E%20X4%7D%20without%20%7BG%20-%3E%20X5%7D%20without%20%7BF%20-%3E%20X6%7D%20without%20%7BH%20-%3E%20X7%7D	8	Sodeč	88.79	88.79	0.00	5.90	1.00	51.45
Spomladi >nummod 1980	Spomladi	1980																												1	3.7	AB	"pattern {A [form=""Spomladi""]; B [form=""1980""]; A -[nummod]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22Spomladi%22%5D%3B%20B%20%5Bform%3D%221980%22%5D%3B%20A%20-%5Bnummod%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	Spomladi	13.63	13.63	0.20	11.68	1.00	6.21
Stoletje <nmod pozneje	Stoletje	pozneje																												1	3.7	AB	"pattern {B [form=""pozneje""]; A [form=""Stoletje""]; B -[nmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22pozneje%22%5D%3B%20A%20%5Bform%3D%22Stoletje%22%5D%3B%20B%20-%5Bnmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	pozneje	12.30	12.30	0.04	9.25	1.00	5.41
Strogo <advmod matematično	Strogo	matematično																												1	3.7	AB	"pattern {B [form=""matematično""]; A [form=""Strogo""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22matemati%C4%8Dno%22%5D%3B%20A%20%5Bform%3D%22Strogo%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	matematično	16.03	16.03	0.40	12.68	1.00	7.65
TAKO >obl (KOT <case (MED <case MOŠKIMI) <nmod Vija >flat:name Singh)	TAKO	KOT	MED	MOŠKIMI	Vija	Singh																								1	3.7	ABCDEF	"pattern {A [form=""TAKO""]; E [form=""Vija""]; B [form=""KOT""]; D [form=""MOŠKIMI""]; C [form=""MED""]; F [form=""Singh""]; A -[obl]-> E; E -[case]-> B; E -[nmod]-> D; D -[case]-> C; E -[flat:name]-> F; A << E; E >> B; E >> D; D >> C; E << F} without {A -> X0} without {E -> X1} without {B -> X2} without {D -> X3} without {C -> X4} without {F -> X5}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22TAKO%22%5D%3B%20E%20%5Bform%3D%22Vija%22%5D%3B%20B%20%5Bform%3D%22KOT%22%5D%3B%20D%20%5Bform%3D%22MO%C5%A0KIMI%22%5D%3B%20C%20%5Bform%3D%22MED%22%5D%3B%20F%20%5Bform%3D%22Singh%22%5D%3B%20A%20-%5Bobl%5D-%3E%20E%3B%20E%20-%5Bcase%5D-%3E%20B%3B%20E%20-%5Bnmod%5D-%3E%20D%3B%20D%20-%5Bcase%5D-%3E%20C%3B%20E%20-%5Bflat%3Aname%5D-%3E%20F%3B%20A%20%3C%3C%20E%3B%20E%20%3E%3E%20B%3B%20E%20%3E%3E%20D%3B%20D%20%3E%3E%20C%3B%20E%20%3C%3C%20F%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BE%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BD%20-%3E%20X3%7D%20without%20%7BC%20-%3E%20X4%7D%20without%20%7BF%20-%3E%20X5%7D	6	TAKO	81.23	81.23	0.20	11.68	1.00	46.90
Tako <advmod dobro	Tako	dobro																												1	3.7	AB	"pattern {B [form=""dobro""]; A [form=""Tako""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22dobro%22%5D%3B%20A%20%5Bform%3D%22Tako%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	dobro	4.26	4.26	0.01	7.11	0.95	0.67
Tako <advmod ostro	Tako	ostro																												1	3.7	AB	"pattern {B [form=""ostro""]; A [form=""Tako""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22ostro%22%5D%3B%20A%20%5Bform%3D%22Tako%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	ostro	8.45	8.45	0.02	8.14	1.00	3.09
Tako >conj (ali <cc tako)	Tako	ali	tako																											1	3.7	ABC	"pattern {A [form=""Tako""]; C [form=""tako""]; B [form=""ali""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22Tako%22%5D%3B%20C%20%5Bform%3D%22tako%22%5D%3B%20B%20%5Bform%3D%22ali%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	Tako	10.32	10.32	0.00	4.99	1.00	4.21
Tako >fixed imenovana	Tako	imenovana																												1	3.7	AB	"pattern {A [form=""Tako""]; B [form=""imenovana""]; A -[fixed]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22Tako%22%5D%3B%20B%20%5Bform%3D%22imenovana%22%5D%3B%20A%20-%5Bfixed%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	Tako	8.09	8.09	0.02	8.12	1.00	2.88
Tako >fixed kot	Tako	kot																												1	3.7	AB	"pattern {A [form=""Tako""]; B [form=""kot""]; A -[fixed]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22Tako%22%5D%3B%20B%20%5Bform%3D%22kot%22%5D%3B%20A%20-%5Bfixed%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	Tako	1.18	1.18	0.00	4.78	0.56	-0.41
